participant_id,condition,rt
part-1,incongruent,330.2900810647271
part-1,incongruent,332.71941211231626
part-1,incongruent,327.5280252125104
part-1,incongruent,331.803534638623
part-1,incongruent,338.53384245527724
part-1,incongruent,330.0316752555711
part-1,incongruent,333.01410178151275
part-1,incongruent,326.65847632533337
part-1,incongruent,334.55315081281
part-1,incongruent,329.8643931053715
part-1,incongruent,338.10396593231695
part-1,incongruent,329.2279262726438
part-1,incongruent,330.85253291035445
part-1,incongruent,332.6063181221591
part-1,incongruent,325.89595127621226
part-1,incongruent,330.54119446329236
part-1,incongruent,327.27889780624446
part-1,incongruent,330.7296015955362
part-1,incongruent,330.7446721168202
part-1,incongruent,329.87571597204567
part-1,incongruent,328.2278864624276
part-1,incongruent,331.3175167473034
part-1,incongruent,329.4978198950078
part-1,incongruent,331.3027720200246
part-1,incongruent,329.10423035292854
part-1,incongruent,326.61227601692764
part-1,incongruent,333.2702545100328
part-1,incongruent,340.7632238437581
part-1,incongruent,329.4131900844294
part-1,incongruent,335.23575882019907
part-1,incongruent,327.23587483168006
part-1,incongruent,333.0778420793826
part-1,incongruent,331.43507552135674
part-1,incongruent,329.7007544540239
part-1,incongruent,331.9079387546211
part-1,incongruent,335.6959088906989
part-1,incongruent,331.6236385874078
part-1,incongruent,330.97014213570725
part-1,incongruent,339.0554017967111
part-1,incongruent,331.51311652041545
part-1,incongruent,331.5629039397363
part-1,incongruent,328.50066840701817
part-1,incongruent,327.7594254596376
part-1,incongruent,341.8680023370582
part-1,incongruent,330.35897397476447
part-1,incongruent,332.32821614312746
part-1,incongruent,329.90580357063556
part-1,incongruent,346.51094928778446
part-1,incongruent,333.6723623684825
part-1,incongruent,344.54960334931394
part-1,incongruent,339.5403886950573
part-1,incongruent,332.3696320819602
part-1,incongruent,334.9594824608
part-1,incongruent,335.41479534447546
part-1,incongruent,327.98005761161477
part-1,incongruent,344.4928701267013
part-1,incongruent,329.6255191780615
part-1,incongruent,330.38900391027465
part-1,incongruent,339.9633708571672
part-1,incongruent,332.8413320869918
part-1,incongruent,331.7033874754903
part-1,incongruent,331.20667900254494
part-1,incongruent,328.51334873554356
part-1,incongruent,333.6430483910976
part-1,incongruent,331.7928412594636
part-1,incongruent,332.9145002793195
part-1,incongruent,334.0940248194582
part-1,incongruent,339.181990655325
part-1,incongruent,331.0340966668584
part-1,incongruent,335.0961243789729
part-1,incongruent,338.42169335633525
part-1,incongruent,329.5039614920315
part-1,incongruent,333.6749022049777
part-1,incongruent,334.9983561565689
part-1,incongruent,332.5690689102723
part-1,incongruent,329.6543772242875
part-1,incongruent,340.17942547679445
part-1,incongruent,328.9486517455316
part-1,incongruent,343.802853546644
part-1,incongruent,336.2768452067024
part-1,incongruent,345.03579314842784
part-1,incongruent,328.8562406302435
part-1,incongruent,347.6498314801866
part-1,incongruent,333.5111428656049
part-1,incongruent,341.7828754148595
part-1,incongruent,329.63440962983265
part-1,incongruent,329.74099548358765
part-1,incongruent,341.41749212632976
part-1,incongruent,335.06980837248057
part-1,incongruent,335.838203513377
part-1,incongruent,330.2866110954593
part-1,incongruent,330.74643712107564
part-1,incongruent,330.7282836806109
part-1,incongruent,336.4219672258451
part-1,incongruent,330.9151511922099
part-1,incongruent,334.1370026004482
part-1,incongruent,330.98340863209165
part-1,incongruent,328.92362114189405
part-1,incongruent,337.55179423755925
part-1,incongruent,331.36919466595083
part-2,mixed,336.36563659832586
part-2,mixed,335.4397392699879
part-2,mixed,332.1721284609125
part-2,mixed,335.23240569197856
part-2,mixed,333.38354663814636
part-2,mixed,340.8357302034955
part-2,mixed,330.8464241962832
part-2,mixed,332.66648393226166
part-2,mixed,331.42242663861
part-2,mixed,330.1041869882353
part-2,mixed,334.7988592137235
part-2,mixed,331.18372429892696
part-2,mixed,331.339163706062
part-2,mixed,338.3137633072201
part-2,mixed,333.69664533106874
part-2,mixed,331.0844279905562
part-2,mixed,334.94854290785935
part-2,mixed,338.2035879763353
part-2,mixed,333.49472126066775
